what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455345529760
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455345532110
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1455345577786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455345588830
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455345619244
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345622562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345686881
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455345727465
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455345729287
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455345768011
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455345889737
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345892766
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345894493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345896936
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455346363376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455346431971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455346496498
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455346498789
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455346559319
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455346620184
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455346625437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455347185101
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455347499116
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455347596854
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455347632567
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455347635449
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455347681978
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455347796950
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455347799057
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455347809795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455347818942
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455347823372
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455347908294
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455347933536
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455347945005
